Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,24.0,WSC,BAA,C,60.0,,,3.7,14.6,0.255,1.9,2.7,0.681,,1.0,3.0,9.3
1947-48,25.0,WSC,BAA,C,48.0,,,2.7,11.0,0.249,1.1,1.8,0.614,,0.6,3.1,6.6
1948-49,26.0,TOT,BAA,C,57.0,,,3.8,14.6,0.259,1.8,2.9,0.623,,2.2,3.8,9.4
1948-49,26.0,BLB,BAA,C,7.0,,,3.0,11.4,0.263,1.6,2.6,0.611,,1.3,4.6,7.6
1948-49,26.0,INJ,BAA,C,13.0,,,4.5,18.2,0.246,1.1,2.3,0.467,,2.6,3.1,10.0
1948-49,26.0,FTW,BAA,C,37.0,,,3.7,13.9,0.265,2.1,3.2,0.664,,2.2,3.9,9.5
1949-50,27.0,TOT,NBA,C,62.0,,,2.1,8.0,0.267,1.2,1.9,0.67,,1.7,3.7,5.5
1949-50,27.0,FTW,NBA,C,2.0,,,1.5,4.0,0.375,0.5,1.5,0.333,,1.0,4.0,3.5
1949-50,27.0,TRI,NBA,C,36.0,,,2.4,8.9,0.266,1.5,2.1,0.697,,1.8,4.1,6.2
1949-50,27.0,BOS,NBA,C,24.0,,,1.8,7.0,0.262,1.0,1.5,0.639,,1.8,3.1,4.6
1950-51,28.0,TOT,NBA,C,58.0,,,1.9,6.1,0.316,0.8,1.2,0.643,3.8,1.3,2.8,4.6
1950-51,28.0,BOS,NBA,C,46.0,,,2.2,6.5,0.342,0.8,1.2,0.648,4.0,1.5,3.3,5.2
1950-51,28.0,INO,NBA,C,12.0,,,0.8,4.4,0.17,0.8,1.3,0.625,2.9,0.8,1.0,2.3
1951-52,29.0,BOS,NBA,C,60.0,,9.7,1.3,3.8,0.344,0.4,0.7,0.605,2.2,1.1,1.5,3.0
1952-53,30.0,BOS,NBA,C,69.0,,11.2,1.1,3.7,0.302,0.6,0.8,0.696,2.6,1.1,1.6,2.8
Career,,,TOT,,414.0,,10.5,2.3,8.6,0.272,1.1,1.7,0.65,2.9,1.3,2.8,5.8
,,,NBA,,249.0,,10.5,1.6,5.3,0.3,0.8,1.1,0.658,2.9,1.3,2.4,3.9
,,,BAA,,165.0,,,3.4,13.5,0.255,1.6,2.5,0.644,,1.3,3.3,8.5
,,,,,,,,,,,,,,,,,
4 seasons,,BOS,NBA,,199.0,,10.5,1.5,4.7,0.317,0.6,0.9,0.651,2.8,1.2,2.1,3.6
2 seasons,,WSC,BAA,,108.0,,,3.3,13.0,0.252,1.5,2.3,0.657,,0.8,3.1,8.1
2 seasons,,FTW,BAA,,39.0,,,3.6,13.4,0.266,2.1,3.1,0.656,,2.2,3.9,9.2
1 season,,TRI,NBA,,36.0,,,2.4,8.9,0.266,1.5,2.1,0.697,,1.8,4.1,6.2
1 season,,INJ,BAA,,13.0,,,4.5,18.2,0.246,1.1,2.3,0.467,,2.6,3.1,10.0
1 season,,INO,NBA,,12.0,,,0.8,4.4,0.17,0.8,1.3,0.625,2.9,0.8,1.0,2.3
1 season,,BLB,BAA,,7.0,,,3.0,11.4,0.263,1.6,2.6,0.611,,1.3,4.6,7.6
