Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1958-59,22.0,DET,NBA,PF,48.0,,14.6,2.6,6.0,0.439,1.1,2.2,0.529,5.9,0.5,2.3,6.4
1959-60,23.0,DET,NBA,SF,75.0,,18.9,3.6,8.4,0.426,1.8,2.7,0.663,5.7,0.7,2.6,8.9
1960-61,24.0,DET,NBA,SF,78.0,,21.0,4.1,9.6,0.428,1.8,2.6,0.697,6.2,1.3,3.1,10.1
1961-62,25.0,TOT,NBA,SF,62.0,,19.8,4.3,9.5,0.448,1.7,2.9,0.593,5.9,1.0,3.3,10.3
1961-62,25.0,DET,NBA,SF,14.0,,13.6,1.9,5.9,0.313,1.4,2.6,0.556,4.6,0.4,2.6,5.1
1961-62,25.0,STL,NBA,SF,48.0,,21.6,5.0,10.6,0.47,1.8,3.0,0.603,6.3,1.1,3.4,11.8
Career,,,NBA,,263.0,,18.9,3.7,8.6,0.434,1.7,2.6,0.634,6.0,0.9,2.8,9.1
,,,,,,,,,,,,,,,,,
4 seasons,,DET,NBA,,215.0,,18.3,3.5,8.1,0.424,1.6,2.5,0.643,5.9,0.8,2.7,8.5
1 season,,STL,NBA,,48.0,,21.6,5.0,10.6,0.47,1.8,3.0,0.603,6.3,1.1,3.4,11.8
