Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1977-78,22.0,PHI,NBA,PF,6.0,,3.5,0.8,2.2,0.385,0.5,1.2,0.429,0.0,0.8,0.8,0.3,0.0,0.0,0.8,0.8,2.2
1978-79,23.0,SAS,NBA,PF,26.0,,8.5,1.2,2.9,0.413,0.9,1.5,0.605,1.0,1.4,2.5,0.7,0.3,0.4,0.8,1.3,3.3
Career,,,NBA,,32.0,,7.6,1.1,2.8,0.409,0.8,1.4,0.578,0.8,1.3,2.2,0.7,0.3,0.3,0.8,1.3,3.1
,,,,,,,,,,,,,,,,,,,,,,
1 season,,SAS,NBA,,26.0,,8.5,1.2,2.9,0.413,0.9,1.5,0.605,1.0,1.4,2.5,0.7,0.3,0.4,0.8,1.3,3.3
1 season,,PHI,NBA,,6.0,,3.5,0.8,2.2,0.385,0.5,1.2,0.429,0.0,0.8,0.8,0.3,0.0,0.0,0.8,0.8,2.2
