Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1953-54,22.0,FTW,NBA,SF,32,,29.9,3.6,9.1,.390,4.4,5.8,.759,7.1,1.6,2.6,11.6
1954-55,23.0,Did Not Play (suspended—betting on games),Did Not Play (suspended—betting on games),Did Not Play (suspended—betting on games),Did Not Play (suspended—betting on games),Did Not Play (suspended—betting on games),Did Not Play (suspended—betting on games),Did Not Play (suspended—betting on games),Did Not Play (suspended—betting on games),Did Not Play (suspended—betting on games),Did Not Play (suspended—betting on games),Did Not Play (suspended—betting on games),Did Not Play (suspended—betting on games),Did Not Play (suspended—betting on games),Did Not Play (suspended—betting on games),Did Not Play (suspended—betting on games),Did Not Play (suspended—betting on games)
Career,,,NBA,,32,,29.9,3.6,9.1,.390,4.4,5.8,.759,7.1,1.6,2.6,11.6
