Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,23.0,KCO,NBA,PF,54.0,,9.6,2.0,4.1,0.482,1.8,2.6,0.707,1.1,1.6,2.7,0.4,0.6,0.1,,1.4,5.8
1974-75,24.0,KCO,NBA,PF,80.0,,21.9,3.7,8.1,0.459,2.4,3.0,0.784,1.9,4.4,6.2,0.9,0.9,0.3,,2.9,9.8
1975-76,25.0,KCK,NBA,PF,82.0,,19.7,3.6,7.4,0.484,2.5,3.3,0.758,1.9,4.3,6.2,0.9,0.6,0.4,,3.0,9.7
1976-77,26.0,TOT,NBA,PF,24.0,,9.6,2.0,4.7,0.42,2.2,2.5,0.852,1.2,2.0,3.1,0.3,0.4,0.1,,1.3,6.1
1976-77,26.0,NYN,NBA,PF,8.0,,11.6,2.3,6.4,0.353,3.0,3.8,0.8,1.3,2.0,3.3,0.4,0.5,0.1,,1.6,7.5
1976-77,26.0,GSW,NBA,PF,16.0,,8.6,1.8,3.8,0.475,1.8,1.9,0.903,1.1,1.9,3.1,0.2,0.4,0.1,,1.2,5.4
1977-78,27.0,TOT,NBA,PF,46.0,,20.4,3.5,7.7,0.455,3.2,3.8,0.829,1.7,2.7,4.4,1.0,0.4,0.2,1.5,2.5,10.2
1977-78,27.0,GSW,NBA,PF,9.0,,7.4,0.7,2.0,0.333,1.7,2.1,0.789,0.2,1.3,1.6,0.2,0.0,0.1,0.8,1.6,3.0
1977-78,27.0,BUF,NBA,PF,37.0,,23.6,4.2,9.1,0.462,3.5,4.2,0.833,2.1,3.0,5.1,1.2,0.5,0.3,1.6,2.7,11.9
1978-79,28.0,DET,NBA,PF,11.0,,4.2,0.8,1.8,0.45,1.0,1.1,0.917,0.3,0.6,0.9,0.3,0.0,0.0,0.4,0.6,2.6
Career,,,NBA,,297.0,,17.2,3.1,6.6,0.466,2.4,3.0,0.779,1.6,3.2,4.8,0.8,0.6,0.3,1.2,2.4,8.5
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,"KCO,KCK",NBA,,216.0,,18.0,3.2,6.8,0.473,2.3,3.0,0.757,1.7,3.6,5.3,0.8,0.7,0.3,,2.5,8.7
1 season,,BUF,NBA,,37.0,,23.6,4.2,9.1,0.462,3.5,4.2,0.833,2.1,3.0,5.1,1.2,0.5,0.3,1.6,2.7,11.9
2 seasons,,GSW,NBA,,25.0,,8.2,1.4,3.2,0.443,1.7,2.0,0.86,0.8,1.7,2.5,0.2,0.2,0.1,0.8,1.3,4.5
1 season,,DET,NBA,,11.0,,4.2,0.8,1.8,0.45,1.0,1.1,0.917,0.3,0.6,0.9,0.3,0.0,0.0,0.4,0.6,2.6
1 season,,NYN,NBA,,8.0,,11.6,2.3,6.4,0.353,3.0,3.8,0.8,1.3,2.0,3.3,0.4,0.5,0.1,,1.6,7.5
