Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,22.0,CIN,NBA,SG,72.0,,11.8,2.1,5.0,0.421,0.9,1.1,0.785,,,1.8,1.2,,,1.1,5.1
1966-67,23.0,CIN,NBA,SF,60.0,,19.9,3.6,8.2,0.44,1.2,1.7,0.712,,,2.7,1.6,,,1.4,8.5
1967-68,24.0,SDR,NBA,SG,65.0,,28.9,4.9,11.6,0.417,2.4,2.8,0.867,,,3.1,2.7,,,1.8,12.1
1968-69,25.0,MIL,NBA,SG,80.0,,36.1,8.3,17.0,0.487,3.1,3.7,0.842,,,4.3,3.9,,,2.3,19.6
1969-70,26.0,MIL,NBA,SG,82.0,,36.2,7.8,14.7,0.53,2.1,2.4,0.854,,,3.1,3.7,,,2.0,17.6
1970-71,27.0,MIL,NBA,SG,82.0,,35.3,7.0,13.1,0.535,1.8,2.0,0.862,,,2.7,3.7,,,2.3,15.8
1971-72,28.0,MIL,NBA,SG,80.0,,27.7,4.7,9.2,0.51,1.4,1.6,0.865,,,2.3,2.9,,,1.8,10.7
1972-73,29.0,MIL,NBA,SG,80.0,,24.4,4.4,8.7,0.502,0.8,0.9,0.863,,,2.0,3.0,,,1.5,9.6
1973-74,30.0,MIL,NBA,SG,79.0,,24.2,4.2,8.8,0.475,0.9,1.0,0.9,0.4,1.3,1.8,3.1,0.5,0.1,1.6,9.2
1974-75,31.0,MIL,NBA,SG,79.0,,23.5,4.1,8.2,0.496,0.8,0.9,0.875,0.3,1.2,1.5,3.2,0.6,0.1,1.8,9.0
1975-76,32.0,MIL,NBA,SG,33.0,,10.2,1.9,4.5,0.426,0.3,0.3,0.9,0.1,0.4,0.5,1.2,0.2,0.0,0.5,4.1
Career,,,NBA,,792.0,,26.4,5.1,10.3,0.489,1.5,1.7,0.845,0.3,1.1,2.4,2.9,0.5,0.1,1.7,11.6
,,,,,,,,,,,,,,,,,,,,,
8 seasons,,MIL,NBA,,595.0,,28.6,5.6,11.0,0.505,1.5,1.7,0.86,0.3,1.1,2.4,3.2,0.5,0.1,1.8,12.6
2 seasons,,CIN,NBA,,132.0,,15.5,2.8,6.5,0.432,1.0,1.4,0.743,,,2.3,1.4,,,1.2,6.6
1 season,,SDR,NBA,,65.0,,28.9,4.9,11.6,0.417,2.4,2.8,0.867,,,3.1,2.7,,,1.8,12.1
