Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1961-62,23.0,Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts)
1962-63,24.0,Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts)
1963-64,25.0,Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts)
1964-65,26.0,Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts)
1965-66,27.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
1966-67,28.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
1967-68,29.0,NOB,ABA,SF,78,,39.9,8.5,20.6,.413,0.0,0.3,.136,8.5,20.4,.417,.414,7.1,8.9,.795,3.2,7.0,10.2,2.6,,2.6,3.6,24.2
1968-69,30.0,OAK,ABA,SF,75,,33.7,7.1,16.4,.431,0.1,0.2,.357,7.0,16.2,.432,.433,4.8,5.9,.811,3.3,4.9,8.2,2.0,,2.4,3.5,19.0
1969-70,31.0,CAR,ABA,SF,80,,33.4,6.7,15.7,.427,0.1,0.4,.235,6.6,15.3,.432,.430,3.8,5.0,.762,1.8,3.7,5.5,5.3,,3.3,3.5,17.3
1970-71,32.0,VIR,ABA,SF,78,,29.4,5.1,11.2,.456,0.0,0.1,.200,5.1,11.0,.459,.457,2.8,3.3,.853,2.2,3.8,6.1,3.5,,2.3,3.6,13.0
1971-72,33.0,VIR,ABA,SF,67,,22.0,2.6,6.2,.422,0.0,0.1,.111,2.6,6.1,.429,.423,1.6,1.9,.806,1.2,2.4,3.6,2.2,,1.7,2.6,6.8
Career,,,ABA,,378,,32.0,6.1,14.2,.428,0.1,0.2,.213,6.0,14.0,.432,.430,4.1,5.1,.800,2.4,4.4,6.8,3.2,,2.5,3.4,16.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,"OAK,VIR",ABA,,220,,28.6,5.0,11.4,.438,0.0,0.2,.242,5.0,11.3,.441,.440,3.1,3.8,.823,2.3,3.7,6.0,2.6,,2.2,3.3,13.2
1 season,,CAR,ABA,,80,,33.4,6.7,15.7,.427,0.1,0.4,.235,6.6,15.3,.432,.430,3.8,5.0,.762,1.8,3.7,5.5,5.3,,3.3,3.5,17.3
1 season,,NOB,ABA,,78,,39.9,8.5,20.6,.413,0.0,0.3,.136,8.5,20.4,.417,.414,7.1,8.9,.795,3.2,7.0,10.2,2.6,,2.6,3.6,24.2
