Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,22.0,BAL,NBA,SF,28.0,,5.5,1.1,2.6,0.411,,,,1.1,2.6,0.411,0.411,1.0,1.6,0.614,,,0.9,0.4,,,0.5,3.1
1969-70,23.0,TOT,NBA,SF,34.0,,10.7,1.9,4.1,0.453,,,,1.9,4.1,0.453,0.453,1.4,2.1,0.69,,,2.2,0.4,,,1.5,5.1
1969-70,23.0,BAL,NBA,SF,15.0,,4.5,0.9,1.9,0.5,,,,0.9,1.9,0.5,0.5,0.8,1.2,0.667,,,0.8,0.2,,,0.6,2.7
1969-70,23.0,DET,NBA,SF,19.0,,15.6,2.6,5.8,0.441,,,,2.6,5.8,0.441,0.441,1.9,2.8,0.698,,,3.3,0.6,,,2.2,7.1
1970-71,24.0,DET,NBA,SF,56.0,,20.5,2.8,6.1,0.455,,,,2.8,6.1,0.455,0.455,2.5,3.1,0.784,,,4.1,1.0,,,2.5,8.0
1971-72,25.0,TOT,TOT,SF,24.0,,10.9,2.0,4.0,0.485,0.0,0.0,,2.0,4.0,0.485,0.485,1.8,2.3,0.8,0.3,,2.7,0.5,,0.2,1.6,5.8
1971-72,25.0,DET,NBA,SF,18.0,,11.3,2.2,4.6,0.476,,,,2.2,4.6,0.476,0.476,1.9,2.5,0.756,,,2.8,0.6,,,1.6,6.2
1971-72,25.0,DLC,ABA,SF,6.0,,9.5,1.3,2.5,0.533,0.0,0.0,,1.3,2.5,0.533,0.533,1.7,1.7,1.0,1.0,1.3,2.3,0.2,,0.7,1.5,4.3
Career,,,TOT,,142.0,,13.6,2.1,4.6,0.454,0.0,0.0,,2.1,4.6,0.454,0.454,1.8,2.4,0.746,1.0,1.3,2.8,0.7,,0.7,1.7,6.0
,,,NBA,,136.0,,13.7,2.1,4.7,0.452,,,,2.1,4.7,0.452,0.452,1.8,2.5,0.738,,,2.8,0.7,,,1.7,6.0
,,,ABA,,6.0,,9.5,1.3,2.5,0.533,0.0,0.0,,1.3,2.5,0.533,0.533,1.7,1.7,1.0,1.0,1.3,2.3,0.2,,0.7,1.5,4.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DET,NBA,,93.0,,17.7,2.6,5.7,0.455,,,,2.6,5.7,0.455,0.455,2.2,2.9,0.763,,,3.7,0.8,,,2.3,7.5
2 seasons,,BAL,NBA,,43.0,,5.1,1.0,2.3,0.436,,,,1.0,2.3,0.436,0.436,0.9,1.4,0.629,,,0.9,0.3,,,0.5,3.0
1 season,,DLC,ABA,,6.0,,9.5,1.3,2.5,0.533,0.0,0.0,,1.3,2.5,0.533,0.533,1.7,1.7,1.0,1.0,1.3,2.3,0.2,,0.7,1.5,4.3
