Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1971-72,23.0,CIN,NBA,F,19.0,,12.3,1.6,4.2,0.392,1.1,1.5,0.75,,,2.1,0.7,,,2.2,4.4,Ken Durrett,6-7
1972-73,24.0,KCO,NBA,F,8.0,,8.1,1.0,2.6,0.381,0.8,1.0,0.75,,,1.8,0.4,,,2.0,2.8,Ken Durrett,6-7
1973-74,25.0,KCO,NBA,F,45.0,,10.3,1.9,3.9,0.489,0.9,1.5,0.609,0.6,1.1,1.7,0.4,0.3,0.1,1.5,4.8,Ken Durrett,6-7
1974-75,26.0,TOT,NBA,F,48.0,,9.3,1.4,3.5,0.404,0.6,1.1,0.596,0.7,1.4,2.1,0.4,0.2,0.2,1.5,3.4,Ken Durrett,6-7
