Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1957-58,24.0,BOS,NBA,G-F,56,,10.6,1.8,4.2,0.429,1.1,1.5,0.714,2.9,0.7,0.8,4.6,Sam Jones,6-4
1958-59,25.0,BOS,NBA,G-F,71,,20.6,4.3,9.9,0.434,2.1,2.8,0.77,6.0,1.4,1.4,10.7,Sam Jones,6-4
1959-60,26.0,BOS,NBA,G-F,74,,20.4,4.8,10.6,0.454,2.3,3.0,0.764,5.1,1.7,1.4,11.9,Sam Jones,6-4
1960-61,27.0,BOS,NBA,G-F,78,,26.0,6.2,13.7,0.449,2.7,3.4,0.787,5.4,2.8,1.9,15.0,Sam Jones,6-4
1961-62,28.0,BOS,NBA,G-F,78,,30.6,7.6,16.5,0.464,3.1,3.8,0.818,5.9,3.0,1.9,18.4,Sam Jones,6-4
1962-63,29.0,BOS,NBA,G-F,76,,30.6,8.2,17.2,0.476,3.4,4.3,0.793,5.2,3.2,2.1,19.7,Sam Jones,6-4
1963-64,30.0,BOS,NBA,G-F,76,,31.3,8.1,17.9,0.45,3.3,4.2,0.783,4.6,2.7,2.5,19.4,Sam Jones,6-4
1964-65,31.0,BOS,NBA,G-F,80,,36.1,10.3,22.7,0.452,5.4,6.5,0.82,5.1,2.8,2.2,25.9,Sam Jones,6-4
1965-66,32.0,BOS,NBA,G-F,67,,32.2,9.3,19.9,0.469,4.9,6.1,0.799,5.2,3.2,2.5,23.5,Sam Jones,6-4
1966-67,33.0,BOS,NBA,G-F,72,,32.3,8.9,19.5,0.454,4.4,5.2,0.857,4.7,3.0,2.7,22.1,Sam Jones,6-4
1967-68,34.0,BOS,NBA,G-F,73,,33.0,8.5,18.5,0.461,4.3,5.2,0.827,4.9,3.0,2.5,21.3,Sam Jones,6-4
1968-69,35.0,BOS,NBA,G-F,70,,26.0,7.1,15.8,0.45,2.1,2.7,0.783,3.8,2.6,1.7,16.3,Sam Jones,6-4
