Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,Player,Ht
1970-71,23.0,FLO,ABA,F,83,,26.2,4.9,10.8,0.452,0.0,0.2,0.211,4.8,10.6,0.457,0.454,1.2,1.6,0.769,1.7,3.2,4.9,1.3,,1.1,2.2,11.0,Sam Robinson,6-7
1971-72,24.0,FLO,ABA,F,51,,13.5,2.5,5.9,0.42,0.0,0.0,0.0,2.5,5.8,0.423,0.42,1.1,1.3,0.794,1.1,1.5,2.7,0.9,,0.5,1.4,6.0,Sam Robinson,6-7
