Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1958-59,23.0,PHW,NBA,G,45.0,,34.8,4.7,11.9,0.394,1.4,2.5,0.545,6.2,5.8,2.9,10.7,Guy Rodgers,6-0
1959-60,24.0,PHW,NBA,G,68.0,,36.5,5.0,12.8,0.389,1.6,2.7,0.613,5.8,7.1,2.9,11.6,Guy Rodgers,6-0
1960-61,25.0,PHW,NBA,G,78.0,,37.2,5.1,13.2,0.386,2.6,3.8,0.687,6.5,8.7,3.4,12.8,Guy Rodgers,6-0
1961-62,26.0,PHW,NBA,G,80.0,,33.1,3.3,9.4,0.356,1.5,2.3,0.665,4.4,8.0,3.9,8.2,Guy Rodgers,6-0
1962-63,27.0,SFW,NBA,G,79.0,,41.1,5.6,14.6,0.387,2.6,3.6,0.727,5.0,10.4,3.7,13.9,Guy Rodgers,6-0
1963-64,28.0,SFW,NBA,G,79.0,,34.1,4.3,11.7,0.365,2.5,3.5,0.707,4.2,7.0,3.1,11.0,Guy Rodgers,6-0
1964-65,29.0,SFW,NBA,G,79.0,,34.2,5.9,15.5,0.38,2.8,4.1,0.686,4.1,7.2,3.2,14.6,Guy Rodgers,6-0
1965-66,30.0,SFW,NBA,G,79.0,,36.7,7.4,19.9,0.373,3.7,5.2,0.727,5.3,10.7,3.1,18.6,Guy Rodgers,6-0
1966-67,31.0,CHI,NBA,G,81.0,,37.8,6.6,17.0,0.391,4.7,5.9,0.806,4.3,11.2,3.0,18.0,Guy Rodgers,6-0
1967-68,32.0,TOT,NBA,G,79.0,,19.6,1.9,5.4,0.347,1.4,1.7,0.805,1.9,4.8,2.1,5.1,Guy Rodgers,6-0
1968-69,33.0,MIL,NBA,G,81.0,,26.6,4.0,10.6,0.377,2.3,2.9,0.793,2.8,6.9,2.6,10.3,Guy Rodgers,6-0
1969-70,34.0,MIL,NBA,G,64.0,,11.7,1.1,3.0,0.356,1.0,1.4,0.744,1.2,3.3,1.1,3.2,Guy Rodgers,6-0
