Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Player,Ht
1967-68,23.0,PTP,ABA,G,9.0,,8.1,1.4,3.9,0.371,0.0,0.0,,1.4,3.9,0.371,0.371,1.1,1.7,0.667,,,1.7,0.9,1.0,1.6,4.0,Steve Vacendak,6-1
1968-69,24.0,MNP,ABA,G,60.0,,26.5,4.8,11.9,0.402,0.0,0.1,0.25,4.8,11.8,0.404,0.404,2.8,3.6,0.777,1.5,2.0,3.5,2.8,2.3,2.6,12.4,Steve Vacendak,6-1
1969-70,25.0,TOT,ABA,G,14.0,,12.4,1.1,4.2,0.254,0.0,0.1,0.0,1.1,4.1,0.263,0.254,0.9,1.6,0.591,0.4,0.6,0.9,1.4,0.7,1.6,3.1,Steve Vacendak,6-1
