Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1965-66,22.0,DET,NBA,F-G,79.0,,25.8,3.9,10.6,0.374,2.6,3.7,0.721,,,3.9,2.6,,,3.2,10.5,Tom Van Arsdale,6-5
1966-67,23.0,DET,NBA,F-G,79.0,,27.0,4.4,11.2,0.391,3.4,4.4,0.784,,,4.3,2.4,,,3.1,12.2,Tom Van Arsdale,6-5
1967-68,24.0,TOT,NBA,F-G,77.0,,19.7,2.7,7.1,0.387,2.4,3.3,0.746,,,2.9,2.0,,,2.6,7.9,Tom Van Arsdale,6-5
1968-69,25.0,CIN,NBA,F-G,77.0,,39.7,7.1,16.0,0.444,5.2,6.9,0.747,,,4.6,2.7,,,3.9,19.4,Tom Van Arsdale,6-5
1969-70,26.0,CIN,NBA,F-G,71.0,,35.8,8.7,19.4,0.451,5.4,6.9,0.774,,,6.5,2.2,,,3.5,22.8,Tom Van Arsdale,6-5
1970-71,27.0,CIN,NBA,F-G,82.0,,38.4,9.1,20.0,0.456,4.6,6.4,0.721,,,6.1,2.2,,,3.6,22.9,Tom Van Arsdale,6-5
1971-72,28.0,CIN,NBA,F-G,73.0,,35.6,7.5,16.5,0.456,4.1,5.4,0.755,,,4.8,2.7,,,3.3,19.2,Tom Van Arsdale,6-5
1972-73,29.0,TOT,NBA,F-G,79.0,,29.3,5.6,13.2,0.427,3.2,3.9,0.812,,,4.5,1.9,,,2.8,14.4,Tom Van Arsdale,6-5
1973-74,30.0,PHI,NBA,F-G,78.0,,39.0,7.9,18.4,0.428,3.8,4.5,0.851,1.1,3.9,5.0,2.6,0.8,0.0,3.8,19.6,Tom Van Arsdale,6-5
1974-75,31.0,TOT,NBA,F-G,82.0,,34.7,7.2,16.9,0.428,3.9,5.2,0.759,0.9,2.5,3.4,2.7,1.1,0.0,3.1,18.4,Tom Van Arsdale,6-5
1975-76,32.0,ATL,NBA,F-G,75.0,,27.0,4.6,10.5,0.441,1.7,2.2,0.759,0.5,2.0,2.5,1.9,0.8,0.1,2.7,10.9,Tom Van Arsdale,6-5
1976-77,33.0,PHO,NBA,F-G,77.0,,18.5,2.2,5.1,0.433,1.3,1.9,0.703,0.6,1.8,2.4,0.9,0.3,0.0,2.1,5.8,Tom Van Arsdale,6-5
