Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1961-62,19.0,Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts)
1962-63,20.0,Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts)
1963-64,21.0,Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts)
1964-65,22.0,Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts)
1965-66,23.0,Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts)
1966-67,24.0,Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts)
1967-68,25.0,NJA,ABA,SG,74,,35.6,6.1,15.8,.383,1.2,4.1,.301,4.8,11.7,.412,.422,6.1,7.3,.829,,,6.8,1.9,1.9,2.5,19.4
1968-69,26.0,TOT,ABA,SF,64,,22.7,3.3,9.2,.357,0.5,2.3,.221,2.8,6.9,.402,.384,4.7,5.3,.887,1.6,2.2,3.8,2.2,2.4,2.3,11.7
1968-69,26.0,NYA,ABA,SF,3,,6.7,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.3,0.3,1.000,0.0,1.0,1.0,0.0,0.0,0.7,0.3
1968-69,26.0,MNP,ABA,,1,,10.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,2.0,0.0
