Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1949-50,24.0,MNL,NBA,G,67.0,,,1.6,4.5,0.351,0.9,1.4,0.634,,2.2,2.4,4.0,Slater Martin,5-10
1950-51,25.0,MNL,NBA,G,68.0,,,3.3,9.2,0.362,1.8,2.6,0.684,3.6,3.5,2.9,8.5,Slater Martin,5-10
1951-52,26.0,MNL,NBA,G,66.0,,37.6,3.6,9.6,0.375,2.2,2.9,0.747,3.5,3.8,3.4,9.3,Slater Martin,5-10
1952-53,27.0,MNL,NBA,G,70.0,,36.5,3.7,9.1,0.41,3.2,4.1,0.78,2.7,3.6,3.5,10.6,Slater Martin,5-10
1953-54,28.0,MNL,NBA,G,69.0,,35.8,3.7,9.5,0.388,2.6,3.5,0.724,2.4,3.7,2.9,9.9,Slater Martin,5-10
1954-55,29.0,MNL,NBA,G,72.0,,38.7,4.9,12.8,0.381,3.8,5.0,0.769,3.6,5.9,3.1,13.6,Slater Martin,5-10
1955-56,30.0,MNL,NBA,G,72.0,,39.4,4.3,12.0,0.358,4.6,5.5,0.833,3.6,6.2,2.8,13.2,Slater Martin,5-10
1956-57,31.0,TOT,NBA,G,66.0,,36.4,3.7,11.2,0.332,3.5,4.4,0.79,4.4,4.1,2.9,10.9,Slater Martin,5-10
1957-58,32.0,STL,NBA,G,60.0,,35.0,4.3,12.8,0.336,3.4,4.6,0.746,3.8,3.6,3.1,12.0,Slater Martin,5-10
1958-59,33.0,STL,NBA,G,71.0,,35.3,3.5,9.9,0.347,2.8,3.6,0.776,3.6,4.7,3.2,9.7,Slater Martin,5-10
1959-60,34.0,STL,NBA,G,64.0,,27.4,2.2,6.0,0.371,1.8,2.4,0.729,2.9,5.2,2.7,6.2,Slater Martin,5-10
