Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1964-65,22.0,STL,NBA,G-F,44.0,,11.2,2.0,4.8,0.416,0.9,1.4,0.672,,,2.3,1.0,,,1.4,4.9,Jeff Mullins,6-4
1965-66,23.0,STL,NBA,G-F,44.0,,13.3,2.6,6.7,0.382,0.7,0.8,0.806,,,1.6,1.5,,,1.5,5.8,Jeff Mullins,6-4
1966-67,24.0,SFW,NBA,G-F,77.0,,23.8,5.5,11.9,0.458,1.9,2.8,0.701,,,5.0,2.9,,,2.5,12.9,Jeff Mullins,6-4
1967-68,25.0,SFW,NBA,G-F,79.0,,35.5,7.7,17.6,0.439,3.5,4.4,0.794,,,5.7,4.4,,,3.4,18.9,Jeff Mullins,6-4
1968-69,26.0,SFW,NBA,G-F,78.0,,37.4,8.9,19.4,0.459,4.9,5.8,0.843,,,5.9,4.3,,,3.2,22.8,Jeff Mullins,6-4
1969-70,27.0,SFW,NBA,G-F,74.0,,38.7,8.9,19.3,0.46,4.3,5.1,0.847,,,5.2,4.9,,,3.2,22.1,Jeff Mullins,6-4
1970-71,28.0,SFW,NBA,G-F,75.0,,38.8,8.4,17.4,0.482,4.0,4.8,0.844,,,4.5,4.4,,,3.3,20.8,Jeff Mullins,6-4
1971-72,29.0,GSW,NBA,G-F,80.0,,40.2,8.6,18.3,0.467,4.4,5.5,0.794,,,5.6,5.9,,,3.3,21.5,Jeff Mullins,6-4
1972-73,30.0,GSW,NBA,G-F,81.0,,37.1,8.0,16.3,0.493,1.8,2.1,0.831,,,4.5,4.2,,,2.5,17.8,Jeff Mullins,6-4
1973-74,31.0,GSW,NBA,G-F,77.0,,32.4,7.0,14.9,0.473,2.2,2.5,0.875,1.1,2.5,3.6,4.0,0.9,0.3,2.8,16.2,Jeff Mullins,6-4
1974-75,32.0,GSW,NBA,G-F,66.0,,17.3,3.5,7.8,0.455,1.1,1.3,0.816,0.7,1.2,1.9,2.3,0.9,0.2,1.9,8.2,Jeff Mullins,6-4
1975-76,33.0,GSW,NBA,G-F,29.0,,10.7,2.0,4.1,0.483,0.8,1.0,0.793,0.4,0.7,1.1,1.3,0.5,0.0,1.2,4.8,Jeff Mullins,6-4
