Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1949-50,21.0,MNL,NBA,F-C,68,,,4.2,10.6,0.399,3.2,4.2,0.752,,1.8,3.3,11.6,Vern Mikkelsen,6-7
1950-51,22.0,MNL,NBA,F-C,64,,,5.6,14.0,0.402,2.9,4.3,0.676,10.2,2.8,4.1,14.1,Vern Mikkelsen,6-7
1951-52,23.0,MNL,NBA,F-C,66,,35.5,5.5,13.1,0.419,4.3,5.6,0.761,10.3,2.7,4.3,15.3,Vern Mikkelsen,6-7
1952-53,24.0,MNL,NBA,F-C,70,,35.2,5.4,12.4,0.435,4.2,5.5,0.752,9.3,2.1,4.1,15.0,Vern Mikkelsen,6-7
1953-54,25.0,MNL,NBA,F-C,72,,31.2,4.0,10.7,0.374,3.1,4.1,0.742,8.5,1.7,3.7,11.1,Vern Mikkelsen,6-7
1954-55,26.0,MNL,NBA,F-C,71,,36.0,6.2,14.7,0.422,6.3,8.4,0.747,10.2,2.0,4.5,18.7,Vern Mikkelsen,6-7
1955-56,27.0,MNL,NBA,F-C,72,,29.2,4.4,11.4,0.386,4.6,5.7,0.804,8.4,2.4,4.4,13.4,Vern Mikkelsen,6-7
1956-57,28.0,MNL,NBA,F-C,72,,30.5,4.5,11.9,0.377,4.8,5.9,0.807,8.8,1.7,4.3,13.7,Vern Mikkelsen,6-7
1957-58,29.0,MNL,NBA,F-C,72,,33.2,6.1,14.9,0.41,5.1,6.5,0.786,11.2,2.3,4.2,17.3,Vern Mikkelsen,6-7
1958-59,30.0,MNL,NBA,F-C,72,,29.7,4.9,12.6,0.39,4.0,4.9,0.806,7.9,2.2,3.4,13.8,Vern Mikkelsen,6-7
