Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Player,Ht
1962-63,23.0,CHZ,NBA,C-F,60,,9.8,3.0,5.9,.513,,,,3.0,5.9,.513,.513,1.3,2.0,.672,,,2.7,0.6,,2.0,7.4,Bill McGill,6-9
1963-64,24.0,TOT,NBA,C-F,74,,24.1,6.2,12.7,.487,,,,6.2,12.7,.487,.487,2.8,3.8,.723,,,5.6,1.6,,2.9,15.1,Bill McGill,6-9
1964-65,25.0,TOT,NBA,C-F,24,,5.5,0.9,2.7,.323,,,,0.9,2.7,.323,.323,0.5,0.7,.765,,,1.5,0.4,,1.3,2.3,Bill McGill,6-9
1968-69,29.0,DNR,ABA,C-F,78,,22.6,5.3,9.6,.552,0.0,0.0,,5.3,9.6,.552,.552,2.3,3.4,.682,1.9,4.0,5.9,1.3,1.9,3.7,12.8,Bill McGill,6-9
1969-70,30.0,TOT,ABA,C-F,59,,14.1,3.4,6.3,.545,0.0,0.0,,3.4,6.3,.545,.545,1.3,1.8,.713,0.9,2.7,3.6,1.0,1.4,2.4,8.1,Bill McGill,6-9
