Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Player,Ht
1966-67,23.0,NYK,NBA,F,13.0,,5.8,1.5,3.9,0.373,,,,1.5,3.9,0.373,0.373,0.5,1.0,0.538,,,1.7,0.2,,0.7,3.5,Wayne Molis,6-8
1967-68,24.0,TOT,ABA,F,46.0,,11.6,2.1,4.9,0.427,0.0,0.1,0.667,2.0,4.8,0.423,0.431,0.9,1.3,0.672,,,3.7,0.8,0.6,1.1,5.1,Wayne Molis,6-8
