Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1971-72,23.0,CHI,NBA,F,43.0,,9.4,1.3,3.9,0.339,0.5,1.0,0.477,,,2.1,0.4,,,1.0,3.1,Kenny McIntosh,6-7
1972-73,24.0,TOT,NBA,F,59.0,,19.3,1.9,5.8,0.337,0.7,1.1,0.597,,,3.9,0.9,,,1.7,4.6,Kenny McIntosh,6-7
1973-74,25.0,SEA,NBA,F,69.0,,29.8,3.2,8.3,0.389,0.9,1.6,0.607,1.6,3.6,5.2,1.4,0.8,0.4,2.6,7.4,Kenny McIntosh,6-7
1974-75,26.0,SEA,NBA,F,6.0,,16.8,1.0,4.8,0.207,1.0,1.5,0.667,1.0,1.5,2.5,1.2,0.7,0.5,2.0,3.0,Kenny McIntosh,6-7
