Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1951-52,23.0,BOS,NBA,C-F,66.0,,39.9,5.8,13.5,0.432,7.5,9.4,0.799,8.0,3.5,2.6,19.2,Ed Macauley,6-8
1952-53,24.0,BOS,NBA,C-F,69.0,,42.1,6.5,14.4,0.452,7.2,9.7,0.75,9.1,4.1,2.7,20.3,Ed Macauley,6-8
1953-54,25.0,BOS,NBA,C-F,71.0,,39.3,6.5,13.4,0.486,5.9,7.8,0.758,8.0,3.8,2.4,18.9,Ed Macauley,6-8
1954-55,26.0,BOS,NBA,C-F,71.0,,38.1,5.7,13.4,0.424,6.2,7.9,0.792,8.5,3.9,2.4,17.6,Ed Macauley,6-8
1955-56,27.0,BOS,NBA,C-F,71.0,,33.2,5.9,14.0,0.422,5.6,7.1,0.794,5.9,3.0,2.2,17.5,Ed Macauley,6-8
1956-57,28.0,STL,NBA,C-F,72.0,,35.9,5.8,13.7,0.419,5.0,6.7,0.749,6.1,2.8,2.9,16.5,Ed Macauley,6-8
1957-58,29.0,STL,NBA,C-F,72.0,,26.5,5.2,12.2,0.428,3.7,5.1,0.724,6.6,2.0,2.2,14.2,Ed Macauley,6-8
1958-59,30.0,STL,NBA,C-F,14.0,,14.0,1.6,5.4,0.293,1.5,2.5,0.6,2.9,0.9,1.4,4.6,Ed Macauley,6-8
