Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Player,Ht
1967-68,23.0,HSM,ABA,F,59,,18.8,3.5,8.5,0.41,0.0,0.1,0.333,3.5,8.4,0.411,0.412,1.9,3.4,0.578,,,5.3,0.6,0.9,2.6,9.0,Guy Manning,6-6
1968-69,24.0,HSM,ABA,F,14,,11.9,1.9,6.8,0.284,0.0,0.1,0.0,1.9,6.6,0.29,0.284,1.5,2.6,0.568,1.5,1.5,3.0,0.1,0.9,1.4,5.4,Guy Manning,6-6
