Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1965-66,22.0,NYK,NBA,F,70.0,,12.5,2.3,5.6,0.412,0.8,1.1,0.692,,,2.6,1.0,,,1.6,5.4,Barry Clemens,6-6
1966-67,23.0,CHI,NBA,F,60.0,,16.4,3.1,7.4,0.419,1.1,1.5,0.756,,,3.4,0.7,,,2.4,7.3,Barry Clemens,6-6
1967-68,24.0,CHI,NBA,F,78.0,,20.9,3.9,8.6,0.449,1.6,2.2,0.724,,,4.8,1.3,,,2.9,9.3,Barry Clemens,6-6
1968-69,25.0,CHI,NBA,F,75.0,,19.3,3.1,8.4,0.374,1.1,1.7,0.656,,,4.2,1.7,,,2.2,7.4,Barry Clemens,6-6
1969-70,26.0,SEA,NBA,F,78.0,,19.1,3.5,7.6,0.454,1.4,1.8,0.793,,,4.1,1.5,,,2.4,8.3,Barry Clemens,6-6
1970-71,27.0,SEA,NBA,F,78.0,,16.5,3.2,6.7,0.47,1.1,1.5,0.728,,,3.1,1.2,,,2.2,7.4,Barry Clemens,6-6
1971-72,28.0,SEA,NBA,F,82.0,,17.6,3.1,5.9,0.521,0.9,1.1,0.844,,,3.5,0.8,,,2.4,7.1,Barry Clemens,6-6
1972-73,29.0,CLE,NBA,F,72.0,,15.5,2.9,5.6,0.516,0.7,0.9,0.779,,,2.9,1.6,,,1.9,6.5,Barry Clemens,6-6
1973-74,30.0,CLE,NBA,F,71.0,,12.9,2.3,4.9,0.471,0.9,1.0,0.849,0.6,1.7,2.3,1.1,0.5,0.0,1.9,5.5,Barry Clemens,6-6
1974-75,31.0,POR,NBA,F,77.0,,12.4,2.2,4.6,0.473,0.6,0.8,0.75,0.4,1.7,2.1,1.0,0.9,0.0,1.8,4.9,Barry Clemens,6-6
1975-76,32.0,POR,NBA,F,49.0,,9.0,1.4,2.9,0.49,0.6,0.7,0.886,0.6,0.9,1.4,0.7,0.6,0.1,1.2,3.5,Barry Clemens,6-6
