Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1977-78,23.0,GSW,NBA,F,43,,10.5,1.6,4.0,0.399,1.3,2.3,0.58,1.0,2.3,3.3,0.3,0.5,0.2,0.8,1.9,4.6,Wesley Cox,6-6
1978-79,24.0,GSW,NBA,F,31,,11.6,1.7,4.0,0.431,1.3,3.0,0.435,0.6,1.5,2.0,0.4,0.4,0.2,1.4,2.2,4.7,Wesley Cox,6-6
