Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,30.0,PRO,BAA,,58.0,,,4.6,17.5,0.262,3.1,4.4,0.704,,0.6,3.4,12.3
1947-48,31.0,TOT,BAA,,45.0,,,1.7,6.0,0.283,1.1,1.8,0.622,,0.3,2.2,4.5
1947-48,31.0,PRO,BAA,,21.0,,,2.5,9.5,0.265,1.8,2.8,0.638,,0.3,3.2,6.8
1947-48,31.0,PHW,BAA,,24.0,,,1.0,2.9,0.333,0.6,1.0,0.583,,0.3,1.3,2.5
1948-49,32.0,BOS,BAA,,8.0,,,0.8,3.5,0.214,0.9,1.1,0.778,,0.4,1.1,2.4
Career,,,BAA,,111.0,,,3.1,11.8,0.265,2.2,3.1,0.687,,0.5,2.7,8.4
,,,,,,,,,,,,,,,,,
2 seasons,,PRO,BAA,,79.0,,,4.0,15.4,0.262,2.8,4.0,0.692,,0.5,3.3,10.8
1 season,,PHW,BAA,,24.0,,,1.0,2.9,0.333,0.6,1.0,0.583,,0.3,1.3,2.5
1 season,,BOS,BAA,,8.0,,,0.8,3.5,0.214,0.9,1.1,0.778,,0.4,1.1,2.4
