Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,22.0,OAK,ABA,SG,70,,17.5,3.4,8.1,0.418,0.4,1.0,0.397,3.0,7.1,0.421,0.443,1.5,1.9,0.78,,,1.3,0.8,0.9,1.4,8.7
Career,,,ABA,,70,,17.5,3.4,8.1,0.418,0.4,1.0,0.397,3.0,7.1,0.421,0.443,1.5,1.9,0.78,,,1.3,0.8,0.9,1.4,8.7
