Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,23.0,SHE,NBA,PF,59,,,4.0,12.2,.326,4.2,6.0,.690,,3.5,4.7,12.1
1950-51,24.0,Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL)
1951-52,25.0,BOS,NBA,PF,66,,20.1,2.3,6.1,.369,1.6,2.6,.626,6.2,1.2,3.6,6.1
1952-53,26.0,BOS,NBA,PF,71,,26.8,2.6,7.6,.348,1.5,2.6,.595,7.6,2.1,4.0,6.8
1953-54,27.0,BOS,NBA,PF,71,,24.4,2.0,6.4,.309,1.8,2.9,.626,7.2,2.0,3.9,5.8
1954-55,28.0,BOS,NBA,PF,71,,22.9,2.5,6.5,.378,1.3,1.8,.709,6.9,1.8,3.3,6.2
Career,,,NBA,,338,,23.6,2.6,7.6,.344,2.0,3.1,.652,7.0,2.1,3.9,7.3
,,,,,,,,,,,,,,,,,
4 seasons,,BOS,NBA,,279,,23.6,2.3,6.7,.351,1.6,2.5,.633,7.0,1.8,3.7,6.2
1 season,,SHE,NBA,,59,,,4.0,12.2,.326,4.2,6.0,.690,,3.5,4.7,12.1
