Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,22.0,PHI,NBA,PG,82.0,,28.7,4.4,11.3,0.392,1.7,2.4,0.68,,,2.6,3.7,,,,2.2,10.5
1973-74,23.0,PHI,NBA,PG,75.0,,24.2,3.8,9.5,0.402,1.9,2.6,0.723,0.2,1.0,1.2,3.3,0.8,0.1,,2.3,9.5
1974-75,24.0,PHI,NBA,PG,66.0,,20.6,3.1,7.5,0.414,0.8,1.7,0.478,0.2,1.1,1.3,2.4,0.7,0.1,,2.0,7.0
1975-76,25.0,TOT,NBA,"PG,SG",36.0,,17.1,2.1,4.8,0.433,0.8,1.4,0.569,0.1,0.8,0.9,2.2,0.8,0.2,,1.6,4.9
1975-76,25.0,PHI,NBA,PG,6.0,,5.5,0.3,1.0,0.333,0.2,0.3,0.5,0.0,0.3,0.3,0.3,0.2,0.0,,0.8,0.8
1975-76,25.0,NOJ,NBA,SG,30.0,,19.5,2.4,5.5,0.436,0.9,1.6,0.571,0.1,0.9,1.0,2.6,0.9,0.2,,1.8,5.7
1976-77,26.0,NOJ,NBA,PG,47.0,,25.8,4.1,8.6,0.478,1.7,2.1,0.806,0.4,1.5,1.9,3.1,0.9,0.1,,1.7,9.9
1977-78,27.0,NOJ,NBA,SG,21.0,,17.3,2.1,5.2,0.4,0.7,1.0,0.636,0.1,0.8,0.9,2.3,0.4,0.1,1.0,1.1,4.9
Career,,,NBA,,327.0,,23.6,3.6,8.6,0.414,1.4,2.1,0.667,0.2,1.1,1.6,3.0,0.8,0.1,1.0,2.0,8.5
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,PHI,NBA,,229.0,,24.3,3.7,9.3,0.4,1.5,2.2,0.65,0.2,1.0,1.7,3.1,0.7,0.1,,2.2,8.9
3 seasons,,NOJ,NBA,,98.0,,22.0,3.2,6.9,0.455,1.2,1.7,0.716,0.3,1.2,1.4,2.8,0.8,0.2,1.0,1.6,7.6
