Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1966-67,23.0,CHI,NBA,C,9.0,,7.2,0.9,2.3,0.381,,,,0.9,2.3,0.381,0.381,0.7,0.9,0.75,,,3.1,0.2,,,2.0,2.4
1967-68,24.0,NYK,NBA,C,42.0,,6.5,1.2,3.2,0.388,,,,1.2,3.2,0.388,0.388,0.2,0.4,0.667,,,2.7,0.5,,,1.6,2.7
1968-69,25.0,NYK,NBA,C,67.0,,9.1,1.2,3.4,0.363,,,,1.2,3.4,0.363,0.363,0.4,0.9,0.475,,,3.3,0.8,,,2.1,2.9
1969-70,26.0,NYK,NBA,C,81.0,,9.2,1.2,2.9,0.417,,,,1.2,2.9,0.417,0.417,0.5,1.0,0.519,,,3.2,0.6,,,2.3,2.9
1970-71,27.0,BUF,NBA,C,44.0,,11.0,1.3,3.4,0.392,,,,1.3,3.4,0.392,0.392,0.5,0.9,0.526,,,3.9,0.9,,,2.1,3.1
1971-72,28.0,PTC,ABA,C,18.0,,12.1,1.1,2.9,0.358,0.0,0.1,0.0,1.1,2.9,0.365,0.358,0.3,0.5,0.556,1.8,3.1,4.8,0.7,,0.9,2.7,2.4
Career,,,TOT,,261.0,,9.1,1.2,3.1,0.388,0.0,0.1,0.0,1.2,3.1,0.388,0.388,0.4,0.8,0.529,1.8,3.1,3.4,0.7,,0.9,2.1,2.9
,,,NBA,,243.0,,8.9,1.2,3.1,0.39,,,,1.2,3.1,0.39,0.39,0.4,0.8,0.527,,,3.3,0.7,,,2.1,2.9
,,,ABA,,18.0,,12.1,1.1,2.9,0.358,0.0,0.1,0.0,1.1,2.9,0.365,0.358,0.3,0.5,0.556,1.8,3.1,4.8,0.7,,0.9,2.7,2.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NYK,NBA,,190.0,,8.5,1.2,3.1,0.39,,,,1.2,3.1,0.39,0.39,0.4,0.8,0.516,,,3.1,0.6,,,2.1,2.9
1 season,,BUF,NBA,,44.0,,11.0,1.3,3.4,0.392,,,,1.3,3.4,0.392,0.392,0.5,0.9,0.526,,,3.9,0.9,,,2.1,3.1
1 season,,PTC,ABA,,18.0,,12.1,1.1,2.9,0.358,0.0,0.1,0.0,1.1,2.9,0.365,0.358,0.3,0.5,0.556,1.8,3.1,4.8,0.7,,0.9,2.7,2.4
1 season,,CHI,NBA,,9.0,,7.2,0.9,2.3,0.381,,,,0.9,2.3,0.381,0.381,0.7,0.9,0.75,,,3.1,0.2,,,2.0,2.4
