Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1972-73,22.0,ATL,NBA,PG,70.0,,15.0,2.7,5.6,0.486,1.0,1.6,0.664,,,1.5,1.8,,,1.8,6.5
1973-74,23.0,ATL,NBA,PG,75.0,,19.5,3.2,6.9,0.463,0.9,1.3,0.719,0.3,1.6,1.9,3.1,0.8,0.1,2.1,7.3
1974-75,24.0,GSW,NBA,SG,42.0,,8.1,1.3,3.1,0.415,0.6,0.9,0.658,0.2,0.7,0.9,1.2,0.3,0.0,1.0,3.2
Career,,,NBA,,187.0,,15.3,2.6,5.6,0.466,0.9,1.3,0.684,0.3,1.3,1.6,2.2,0.6,0.1,1.7,6.1
,,,,,,,,,,,,,,,,,,,,,
2 seasons,,ATL,NBA,,145.0,,17.3,3.0,6.3,0.473,1.0,1.4,0.689,0.3,1.6,1.7,2.5,0.8,0.1,1.9,7.0
1 season,,GSW,NBA,,42.0,,8.1,1.3,3.1,0.415,0.6,0.9,0.658,0.2,0.7,0.9,1.2,0.3,0.0,1.0,3.2
