Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,29.0,DTF,BAA,,60.0,,,1.8,8.7,0.204,1.3,2.3,0.543,,0.9,2.8,4.8
1947-48,30.0,TOT,BAA,,45.0,,,2.5,9.4,0.268,1.9,3.0,0.644,,0.9,3.4,7.0
1947-48,30.0,STB,BAA,,24.0,,,2.5,9.9,0.248,2.0,3.0,0.667,,0.5,3.5,6.9
1947-48,30.0,BLB,BAA,,21.0,,,2.6,8.9,0.294,1.9,3.0,0.619,,1.3,3.1,7.1
1948-49,31.0,STB,BAA,,34.0,,,1.6,4.0,0.387,1.2,2.1,0.6,,1.1,3.1,4.4
Career,,,BAA,,139.0,,,2.0,7.8,0.252,1.5,2.5,0.595,,0.9,3.0,5.4
,,,,,,,,,,,,,,,,,
1 season,,DTF,BAA,,60.0,,,1.8,8.7,0.204,1.3,2.3,0.543,,0.9,2.8,4.8
2 seasons,,STB,BAA,,58.0,,,1.9,6.5,0.299,1.6,2.4,0.634,,0.9,3.3,5.4
1 season,,BLB,BAA,,21.0,,,2.6,8.9,0.294,1.9,3.0,0.619,,1.3,3.1,7.1
