Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1954-55,22.0,Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army)
1955-56,23.0,Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army),Did Not Play (military service—U.S. Army)
1956-57,24.0,MNL,NBA,PG,72,,27.0,4.2,12.0,.349,2.6,3.3,.772,3.1,2.3,1.9,11.0
1957-58,25.0,MNL,NBA,PG,66,,31.4,4.0,12.0,.335,3.1,4.1,.765,3.6,3.3,2.2,11.2
1958-59,26.0,MNL,NBA,PG,58,,27.6,3.6,9.5,.373,2.1,2.8,.750,3.1,3.2,2.1,9.2
1959-60,27.0,MNL,NBA,PG,73,,28.4,3.2,9.8,.322,1.9,2.6,.705,3.4,3.5,2.3,8.2
1960-61,28.0,LAL,NBA,PG,55,,10.9,1.1,3.8,.295,1.3,1.8,.710,1.3,1.5,1.3,3.5
1961-62,29.0,CHP,NBA,PG,70,,35.2,6.0,16.1,.375,4.0,5.3,.752,2.8,5.4,2.7,16.1
1962-63,30.0,CHZ,NBA,PG,32,,27.5,2.6,7.7,.343,1.8,2.7,.694,2.1,4.5,2.6,7.1
Career,,,NBA,,426,,27.3,3.7,10.6,.349,2.5,3.3,.745,2.9,3.3,2.1,9.9
,,,,,,,,,,,,,,,,,
5 seasons,,"MNL,LAL",NBA,,324,,25.6,3.3,9.7,.340,2.2,3.0,.746,2.9,2.8,2.0,8.8
2 seasons,,"CHP,CHZ",NBA,,102,,32.8,5.0,13.5,.369,3.3,4.5,.741,2.6,5.1,2.6,13.3
