Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1960-61,24.0,DET,NBA,G,79.0,,27.5,5.4,13.7,0.394,2.5,3.5,0.719,3.2,3.4,2.8,13.3,Don Ohl,6-3
1961-62,25.0,DET,NBA,G,77.0,,32.8,7.2,16.2,0.444,2.6,3.6,0.718,3.5,3.2,2.2,17.0,Don Ohl,6-3
1962-63,26.0,DET,NBA,G,80.0,,37.0,8.0,18.1,0.439,3.4,4.8,0.724,3.0,4.1,2.9,19.3,Don Ohl,6-3
1963-64,27.0,DET,NBA,G,71.0,,33.3,7.0,17.2,0.408,3.2,4.7,0.68,2.5,3.2,3.1,17.3,Don Ohl,6-3
1964-65,28.0,BAL,NBA,G,77.0,,36.6,7.4,16.8,0.438,3.7,5.0,0.732,4.4,3.2,3.6,18.4,Don Ohl,6-3
1965-66,29.0,BAL,NBA,G,73.0,,36.2,8.1,18.3,0.445,4.3,5.9,0.735,3.8,4.0,2.8,20.6,Don Ohl,6-3
1966-67,30.0,BAL,NBA,G,58.0,,34.9,7.8,17.3,0.451,4.8,6.1,0.78,3.3,2.9,2.6,20.3,Don Ohl,6-3
1967-68,31.0,TOT,NBA,G,70.0,,27.4,5.6,12.7,0.441,2.8,3.6,0.776,2.5,2.2,2.6,14.0,Don Ohl,6-3
1968-69,32.0,ATL,NBA,G,76.0,,26.3,5.1,11.9,0.427,1.9,2.7,0.707,2.2,2.9,3.1,12.1,Don Ohl,6-3
1969-70,33.0,ATL,NBA,G,66.0,,14.9,2.7,5.6,0.473,0.9,1.1,0.806,1.1,1.5,1.7,6.2,Don Ohl,6-3
