Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1971-72,22.0,PHI,NBA,G,79.0,,20.6,3.1,7.2,0.429,2.0,2.6,0.757,,,1.9,2.9,,,,2.9,8.1,Dave Wohl,6-2
1972-73,23.0,TOT,NBA,G,78.0,,24.8,3.3,7.3,0.447,1.3,1.7,0.774,,,1.4,4.2,,,,2.9,7.8,Dave Wohl,6-2
1973-74,24.0,TOT,NBA,G,67.0,,15.7,1.8,4.1,0.437,1.1,1.5,0.735,0.2,0.5,0.7,3.5,1.1,0.0,,2.0,4.7,Dave Wohl,6-2
1974-75,25.0,HOU,NBA,G,75.0,,23.0,2.7,6.2,0.439,1.1,1.4,0.745,0.3,1.1,1.5,4.5,1.0,0.1,,2.5,6.5,Dave Wohl,6-2
1975-76,26.0,HOU,NBA,G,50.0,,14.0,1.3,3.3,0.405,0.8,1.0,0.776,0.2,0.9,1.1,2.2,0.5,0.0,,2.2,3.4,Dave Wohl,6-2
1976-77,27.0,TOT,NBA,G,51.0,,19.3,2.3,5.7,0.4,1.2,1.7,0.685,0.3,1.3,1.6,2.8,0.8,0.1,,2.3,5.7,Dave Wohl,6-2
1977-78,28.0,NJN,NBA,G,10.0,,11.8,1.2,3.4,0.353,1.1,1.2,0.917,0.1,0.3,0.4,1.3,0.3,0.0,1.6,2.4,3.5,Dave Wohl,6-2
