Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1973-74,22.0,SEA,NBA,G,62.0,,23.0,3.2,8.2,0.388,1.6,2.5,0.645,1.2,1.8,2.9,5.7,1.9,0.2,,3.3,8.0,Slick Watts,6-1
1974-75,23.0,SEA,NBA,G,82.0,,25.1,2.8,6.7,0.421,1.1,1.9,0.608,1.2,2.0,3.2,6.1,2.3,0.1,,3.1,6.8,Slick Watts,6-1
1975-76,24.0,SEA,NBA,G,82.0,,33.9,5.3,12.4,0.427,2.4,4.2,0.578,1.4,3.1,4.5,8.1,3.2,0.2,,3.3,13.0,Slick Watts,6-1
1976-77,25.0,SEA,NBA,G,79.0,,33.3,5.4,12.8,0.422,2.2,3.7,0.587,1.0,2.9,3.9,8.0,2.7,0.3,,3.2,13.0,Slick Watts,6-1
1977-78,26.0,TOT,NBA,G,71.0,,22.3,3.1,7.9,0.392,1.3,2.2,0.59,0.8,1.7,2.5,4.1,1.5,0.4,2.4,2.6,7.5,Slick Watts,6-1
1978-79,27.0,HOU,NBA,G,61.0,,17.1,1.5,3.7,0.405,0.7,1.1,0.612,0.6,1.1,1.7,4.0,1.2,0.2,1.2,2.3,3.7,Slick Watts,6-1
