Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1965-66,22.0,STL,NBA,F-C,65.0,,17.0,2.4,6.0,0.402,1.0,1.8,0.567,,,5.4,0.7,,,2.7,5.9,Jim Washington,6-6
1966-67,23.0,CHI,NBA,F-C,77.0,,19.2,3.3,7.8,0.417,1.1,2.1,0.553,,,6.1,0.7,,,2.4,7.7,Jim Washington,6-6
1967-68,24.0,CHI,NBA,F-C,82.0,,30.8,5.1,11.2,0.457,2.3,3.3,0.682,,,10.1,1.4,,,2.8,12.5,Jim Washington,6-6
1968-69,25.0,CHI,NBA,F-C,80.0,,33.8,5.5,12.8,0.43,3.0,4.5,0.677,,,10.6,1.3,,,2.8,14.0,Jim Washington,6-6
1969-70,26.0,PHI,NBA,F-C,79.0,,31.1,5.1,10.7,0.476,2.6,3.5,0.747,,,9.3,1.3,,,3.3,12.7,Jim Washington,6-6
1970-71,27.0,PHI,NBA,F-C,78.0,,32.1,5.1,10.6,0.476,3.3,4.4,0.762,,,9.6,1.2,,,3.3,13.4,Jim Washington,6-6
1971-72,28.0,TOT,NBA,F-C,84.0,,35.3,4.7,10.5,0.444,3.0,3.8,0.793,,,8.8,1.7,,,3.3,12.4,Jim Washington,6-6
1972-73,29.0,ATL,NBA,F-C,75.0,,37.8,4.1,9.5,0.432,2.2,3.0,0.728,,,10.7,2.3,,,3.4,10.4,Jim Washington,6-6
1973-74,30.0,ATL,NBA,F-C,73.0,,34.5,4.1,8.4,0.485,1.8,2.7,0.684,2.8,7.2,10.1,2.1,0.7,1.0,3.4,10.0,Jim Washington,6-6
1974-75,31.0,TOT,NBA,F-C,80.0,,19.7,2.4,5.3,0.454,0.8,1.2,0.667,1.4,3.5,4.9,1.4,0.4,0.3,2.1,5.6,Jim Washington,6-6
1975-76,32.0,BUF,NBA,F-C,1.0,,7.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Jim Washington,6-6
