Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,Player,Ht
1970-71,22.0,DNR,ABA,G,39,,6.7,1.3,3.4,0.394,0.2,0.8,0.242,1.1,2.5,0.444,0.424,0.6,1.1,0.537,0.6,0.7,1.2,0.7,,0.8,1.1,3.4,Steve Wilson,6-5
1971-72,23.0,DNR,ABA,G,9,,4.0,0.6,2.6,0.217,0.0,0.2,0.0,0.6,2.3,0.238,0.217,0.4,0.8,0.571,0.3,0.1,0.4,0.7,,0.3,1.0,1.6,Steve Wilson,6-5
