Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1969-70,22.0,SEA,NBA,G,64.0,,12.0,2.2,4.5,0.479,1.4,1.8,0.75,,,1.5,1.6,,,1.5,5.7,Lee Winfield,6-2
1970-71,23.0,SEA,NBA,G,79.0,,20.3,4.2,9.1,0.466,2.1,3.1,0.664,,,2.4,2.8,,,1.7,10.5,Lee Winfield,6-2
1971-72,24.0,SEA,NBA,G,81.0,,25.2,4.2,8.5,0.496,2.2,3.2,0.668,,,2.7,3.6,,,2.4,10.6,Lee Winfield,6-2
1972-73,25.0,SEA,NBA,G,53.0,,20.0,2.7,6.3,0.431,1.2,2.0,0.574,,,2.4,3.5,,,1.7,6.6,Lee Winfield,6-2
1973-74,26.0,BUF,NBA,G,36.0,,12.0,1.0,2.9,0.352,0.9,1.4,0.635,0.5,0.7,1.2,1.3,0.4,0.1,1.2,3.0,Lee Winfield,6-2
1974-75,27.0,BUF,NBA,G,68.0,,18.5,2.4,4.6,0.526,0.7,1.0,0.721,0.7,1.2,1.9,2.0,0.6,0.4,1.6,5.5,Lee Winfield,6-2
1975-76,28.0,KCK,NBA,G,22.0,,9.7,1.5,3.0,0.485,0.4,0.6,0.643,0.4,0.7,1.1,0.9,0.5,0.3,0.6,3.3,Lee Winfield,6-2
