Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1974-75,24.0,POR,NBA,G,43,,10.5,1.1,2.4,0.448,0.6,0.7,0.867,0.2,0.5,0.7,1.9,0.4,0.0,1.0,2.8,Dan Anderson,6-2
1975-76,25.0,POR,NBA,G,52,,11.8,1.7,3.5,0.486,1.0,1.2,0.836,0.3,0.9,1.2,1.6,0.4,0.0,1.1,4.4,Dan Anderson,6-2
