Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23.0,LAL,NBA,PF,44.0,,8.6,1.2,2.5,0.5,,,,1.2,2.5,0.5,0.5,0.3,0.3,1.0,,,1.6,0.7,,1.0,2.8
1968-69,24.0,ATL,NBA,PF,25.0,,5.6,1.5,2.7,0.552,,,,1.5,2.7,0.552,0.552,0.1,0.2,0.4,,,1.2,0.3,,0.8,3.0
1969-70,25.0,PTP,ABA,PF,72.0,,18.5,2.6,5.2,0.507,0.0,0.0,0.0,2.6,5.2,0.508,0.507,1.1,1.4,0.76,1.4,3.3,4.7,1.0,1.3,2.0,6.3
1970-71,26.0,KEN,ABA,PF,3.0,,3.7,0.3,0.7,0.5,0.0,0.0,,0.3,0.7,0.5,0.5,0.3,0.3,1.0,0.0,0.3,0.3,0.3,1.0,0.3,1.0
Career,,,TOT,,144.0,,12.9,2.0,3.8,0.511,0.0,0.0,0.0,2.0,3.8,0.512,0.511,0.6,0.8,0.773,1.4,3.2,3.1,0.8,1.3,1.5,4.6
,,,ABA,,75.0,,17.9,2.5,5.0,0.507,0.0,0.0,0.0,2.5,5.0,0.508,0.507,1.0,1.3,0.762,1.4,3.2,4.5,1.0,1.3,1.9,6.1
,,,NBA,,69.0,,7.5,1.3,2.5,0.52,,,,1.3,2.5,0.52,0.52,0.2,0.3,0.833,,,1.5,0.6,,0.9,2.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,PTP,ABA,,72.0,,18.5,2.6,5.2,0.507,0.0,0.0,0.0,2.6,5.2,0.508,0.507,1.1,1.4,0.76,1.4,3.3,4.7,1.0,1.3,2.0,6.3
1 season,,LAL,NBA,,44.0,,8.6,1.2,2.5,0.5,,,,1.2,2.5,0.5,0.5,0.3,0.3,1.0,,,1.6,0.7,,1.0,2.8
1 season,,ATL,NBA,,25.0,,5.6,1.5,2.7,0.552,,,,1.5,2.7,0.552,0.552,0.1,0.2,0.4,,,1.2,0.3,,0.8,3.0
1 season,,KEN,ABA,,3.0,,3.7,0.3,0.7,0.5,0.0,0.0,,0.3,0.7,0.5,0.5,0.3,0.3,1.0,0.0,0.3,0.3,0.3,1.0,0.3,1.0
