Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,28.0,ROC,BAA,PG,60.0,,,3.8,11.5,0.326,1.6,2.6,0.611,,2.5,1.6,9.1
1949-50,29.0,ROC,NBA,PG,68.0,,,3.0,9.2,0.33,2.1,3.1,0.686,,2.9,1.0,8.2
1950-51,30.0,ROC,NBA,PG,68.0,,,2.7,8.3,0.326,1.9,2.6,0.726,2.2,2.2,1.4,7.3
1951-52,31.0,ROC,NBA,PG,65.0,,16.4,1.6,5.7,0.28,0.9,1.3,0.718,1.6,1.8,1.5,4.1
1952-53,32.0,ROC,NBA,PG,46.0,,8.5,0.8,3.2,0.255,0.6,0.8,0.711,0.9,0.8,1.2,2.2
1953-54,33.0,MLH,NBA,PG,51.0,,12.7,1.5,4.4,0.33,0.9,1.4,0.658,0.9,1.5,1.4,3.8
Career,,,TOT,,358.0,,13.0,2.3,7.3,0.317,1.4,2.1,0.682,1.5,2.0,1.3,6.1
,,,NBA,,298.0,,13.0,2.0,6.5,0.313,1.4,2.0,0.701,1.5,1.9,1.3,5.4
,,,BAA,,60.0,,,3.8,11.5,0.326,1.6,2.6,0.611,,2.5,1.6,9.1
,,,,,,,,,,,,,,,,,
5 seasons,,ROC,BAA,,307.0,,13.1,2.5,7.8,0.315,1.5,2.2,0.685,1.7,2.1,1.3,6.4
1 season,,MLH,NBA,,51.0,,12.7,1.5,4.4,0.33,0.9,1.4,0.658,0.9,1.5,1.4,3.8
