Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1958-59,24.0,MNL,NBA,SF,67,,12.6,1.6,4.4,0.371,1.1,1.6,0.679,3.3,0.5,2.1,4.4
1959-60,25.0,MNL,NBA,SF,15,,16.5,1.9,5.1,0.377,1.2,1.5,0.783,3.9,0.5,2.6,5.1
Career,,,NBA,,82,,13.3,1.7,4.5,0.372,1.1,1.6,0.697,3.4,0.5,2.2,4.5
