Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1961-62,23.0,STL,NBA,SF,3,,8.3,0.3,4.0,.083,,,,0.3,4.0,.083,.083,0.3,0.7,.500,,,2.0,0.3,,1.3,1.0
1962-63,24.0,LAL,NBA,SF,28,,10.3,1.0,2.9,.329,,,,1.0,2.9,.329,.329,0.7,1.0,.690,,,2.5,0.4,,1.6,2.6
1963-64,25.0,Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL)
1964-65,26.0,Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract),Did Not Play (contract dispute—Los Angeles Lakers refuse offers to sell his contract)
1965-66,27.0,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1966-67,28.0,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1967-68,29.0,DNR,ABA,SF,1,,6.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,2.0,2.0,1.000,,,1.0,0.0,1.0,0.0,2.0
Career,,,TOT,,32,,10.0,0.9,3.0,.292,0.0,0.0,,0.9,3.0,.292,.292,0.7,1.0,.697,,,2.4,0.3,1.0,1.6,2.5
,,,NBA,,31,,10.1,0.9,3.0,.298,,,,0.9,3.0,.298,.298,0.7,1.0,.677,,,2.5,0.4,,1.6,2.5
,,,ABA,,1,,6.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,2.0,2.0,1.000,,,1.0,0.0,1.0,0.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,LAL,NBA,,28,,10.3,1.0,2.9,.329,,,,1.0,2.9,.329,.329,0.7,1.0,.690,,,2.5,0.4,,1.6,2.6
1 season,,STL,NBA,,3,,8.3,0.3,4.0,.083,,,,0.3,4.0,.083,.083,0.3,0.7,.500,,,2.0,0.3,,1.3,1.0
1 season,,DNR,ABA,,1,,6.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,2.0,2.0,1.000,,,1.0,0.0,1.0,0.0,2.0
