Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1975-76,21.0,CHI,NBA,F-C,75,,17.7,2.1,5.1,0.411,1.6,2.4,0.67,1.5,3.6,5.1,1.2,0.4,0.3,,1.8,5.8,Cliff Pondexter,6-9
1976-77,22.0,CHI,NBA,F-C,78,,12.8,1.4,3.3,0.416,0.5,0.8,0.646,1.0,2.0,3.0,0.5,0.4,0.1,,1.1,3.3,Cliff Pondexter,6-9
1977-78,23.0,CHI,NBA,F-C,44,,12.1,0.8,1.9,0.435,0.3,0.5,0.7,0.8,2.1,3.0,2.0,0.4,0.3,0.7,1.5,2.0,Cliff Pondexter,6-9
