Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1956-57,24.0,MNL,NBA,F-G,71.0,,17.9,1.9,6.8,0.285,2.4,3.3,0.72,3.7,1.2,2.3,6.3,Jim Paxson,6-6
1957-58,25.0,CIN,NBA,F-G,67.0,,26.8,3.4,9.5,0.352,3.1,4.3,0.733,5.2,2.1,2.7,9.8,Jim Paxson,6-6
