Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Player,Ht
1967-68,29.0,OAK,ABA,G-F,77,,20.6,4.2,9.8,.427,0.1,0.4,.265,4.1,9.4,.435,.433,1.0,1.2,.817,,,5.9,1.4,1.5,2.1,9.5,Mel Peterson,6-4
1968-69,30.0,OAK,ABA,G-F,51,,13.9,2.6,5.2,.502,0.0,0.0,.000,2.6,5.1,.506,.502,0.2,0.3,.800,1.2,2.1,3.3,1.1,0.8,1.2,5.4,Mel Peterson,6-4
