Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1972-73,24.0,BAL,NBA,F,23,,4.0,0.9,2.1,0.429,0.6,0.7,0.813,,,1.0,0.1,,,0.8,2.4,Tom Patterson,6-6
1973-74,25.0,CAP,NBA,F,2,,4.0,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.5,Tom Patterson,6-6
