Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22.0,SEA,NBA,PG,81.0,,22.4,3.8,8.5,0.442,2.2,3.1,0.731,,,2.6,4.2,,,,2.5,9.8
1970-71,23.0,MIL,NBA,PG,61.0,,19.0,2.9,6.5,0.447,1.3,1.8,0.7,,,2.5,2.6,,,,1.8,7.1
1971-72,24.0,MIL,NBA,PG,80.0,,29.0,5.5,10.9,0.505,2.5,3.2,0.764,,,3.2,4.2,,,,2.7,13.5
1972-73,25.0,MIL,NBA,PG,80.0,,33.7,6.8,14.1,0.484,1.8,2.5,0.715,,,3.5,5.3,,,,2.4,15.5
1973-74,26.0,MIL,NBA,PG,72.0,,33.2,7.3,14.8,0.495,3.0,3.8,0.788,1.2,2.8,4.0,5.2,1.9,0.3,,3.0,17.6
1974-75,27.0,TOT,NBA,PG,66.0,,35.7,7.7,17.7,0.437,3.6,4.6,0.778,1.4,2.8,4.2,5.6,2.1,0.4,,3.3,19.1
1974-75,27.0,MIL,NBA,PG,10.0,,34.2,6.8,16.4,0.415,3.1,3.7,0.838,0.9,2.2,3.1,5.3,1.4,0.1,,2.3,16.7
1974-75,27.0,LAL,NBA,PG,56.0,,35.9,7.9,18.0,0.44,3.7,4.8,0.77,1.4,3.0,4.4,5.7,2.2,0.5,,3.5,19.5
1975-76,28.0,LAL,NBA,PG,76.0,,31.4,6.1,13.2,0.459,2.6,3.3,0.776,0.8,2.0,2.8,4.7,1.3,0.3,,3.2,14.7
1976-77,29.0,LAL,NBA,PG,78.0,,31.8,6.1,13.3,0.456,2.5,3.2,0.774,0.7,2.5,3.2,5.2,1.5,0.2,,2.3,14.6
1977-78,30.0,KCK,NBA,PG,77.0,,27.9,4.8,11.0,0.441,2.3,2.9,0.791,0.9,2.1,3.0,4.7,1.2,0.4,2.8,2.3,11.9
1978-79,31.0,KCK,NBA,PG,31.0,,13.3,2.2,5.6,0.397,0.6,1.1,0.576,0.5,1.0,1.5,1.4,0.7,0.2,1.0,1.7,5.1
Career,,,NBA,,702.0,,28.7,5.5,11.9,0.463,2.3,3.1,0.76,1.0,2.3,3.1,4.5,1.5,0.3,2.3,2.6,13.4
,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,MIL,NBA,,303.0,,29.4,5.8,12.0,0.485,2.2,2.9,0.756,1.2,2.7,3.3,4.4,1.8,0.3,,2.5,13.8
3 seasons,,LAL,NBA,,210.0,,32.8,6.6,14.5,0.452,2.9,3.7,0.773,1.0,2.4,3.4,5.1,1.6,0.3,,2.9,16.0
2 seasons,,KCK,NBA,,108.0,,23.7,4.1,9.4,0.433,1.8,2.3,0.763,0.7,1.8,2.5,3.7,1.1,0.3,2.3,2.1,10.0
1 season,,SEA,NBA,,81.0,,22.4,3.8,8.5,0.442,2.2,3.1,0.731,,,2.6,4.2,,,,2.5,9.8
