Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,24.0,NJA,ABA,C,78.0,,33.7,5.9,12.0,0.494,0.0,0.0,,5.9,12.0,0.494,0.494,2.9,4.1,0.697,3.9,7.1,11.0,1.2,1.7,4.2,14.7
1968-69,25.0,TOT,ABA,C,62.0,,22.6,3.5,7.8,0.455,0.0,0.0,,3.5,7.8,0.455,0.455,1.9,2.4,0.792,3.0,4.4,7.4,1.1,1.3,2.8,9.0
1968-69,25.0,NYA,ABA,C,25.0,,27.1,4.0,9.3,0.433,0.0,0.0,,4.0,9.3,0.433,0.433,3.0,3.6,0.824,3.2,5.5,8.7,1.4,1.7,3.3,11.1
1968-69,25.0,KEN,ABA,C,8.0,,11.8,0.9,2.8,0.318,0.0,0.0,,0.9,2.8,0.318,0.318,0.8,1.0,0.75,1.0,2.1,3.1,0.8,1.0,2.4,2.5
1968-69,25.0,MNP,ABA,C,29.0,,21.7,3.9,7.9,0.491,0.0,0.0,,3.9,7.9,0.491,0.491,1.3,1.7,0.74,3.4,4.1,7.5,0.9,1.0,2.5,9.0
Career,,,ABA,,140.0,,28.8,4.9,10.2,0.481,0.0,0.0,,4.9,10.2,0.481,0.481,2.4,3.4,0.727,3.5,5.9,9.4,1.1,1.5,3.6,12.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,"NJA,NYA",ABA,,103.0,,32.1,5.5,11.4,0.482,0.0,0.0,,5.5,11.4,0.482,0.482,2.9,4.0,0.725,3.7,6.7,10.4,1.2,1.7,4.0,13.8
1 season,,MNP,ABA,,29.0,,21.7,3.9,7.9,0.491,0.0,0.0,,3.9,7.9,0.491,0.491,1.3,1.7,0.74,3.4,4.1,7.5,0.9,1.0,2.5,9.0
1 season,,KEN,ABA,,8.0,,11.8,0.9,2.8,0.318,0.0,0.0,,0.9,2.8,0.318,0.318,0.8,1.0,0.75,1.0,2.1,3.1,0.8,1.0,2.4,2.5
