Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1971-72,22.0,FLO,ABA,PF,7,,4.3,0.6,1.9,.308,0.0,0.0,,0.6,1.9,.308,.308,0.7,0.9,.833,0.6,1.4,2.0,0.6,,0.9,1.6,1.9
1972-73,23.0,Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus),Did Not Play (other pro league—Belarus)
Career,,,ABA,,7,,4.3,0.6,1.9,.308,0.0,0.0,,0.6,1.9,.308,.308,0.7,0.9,.833,0.6,1.4,2.0,0.6,,0.9,1.6,1.9
