Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,20.0,BOS,BAA,SF,21.0,,,5.5,15.0,0.368,3.4,5.5,0.626,,2.9,1.3,14.5
1949-50,21.0,BOS,NBA,SF,55.0,,,3.6,9.7,0.372,2.5,3.8,0.654,,2.6,1.7,9.7
1950-51,22.0,NYK,NBA,SF,61.0,,,1.8,4.7,0.388,1.3,2.0,0.624,2.5,1.2,1.7,4.9
1951-52,23.0,NYK,NBA,SF,52.0,,18.4,2.2,5.9,0.375,1.8,2.6,0.687,3.8,1.7,2.1,6.2
1952-53,24.0,BLB,NBA,SF,23.0,,16.5,2.0,6.2,0.317,1.9,2.9,0.657,3.3,1.3,2.6,5.8
Career,,,TOT,,212.0,,17.8,2.8,7.5,0.37,2.0,3.1,0.65,3.1,1.9,1.8,7.5
,,,NBA,,191.0,,17.8,2.5,6.6,0.37,1.8,2.8,0.655,3.1,1.8,1.9,6.8
,,,BAA,,21.0,,,5.5,15.0,0.368,3.4,5.5,0.626,,2.9,1.3,14.5
,,,,,,,,,,,,,,,,,
2 seasons,,NYK,NBA,,113.0,,18.4,2.0,5.2,0.381,1.5,2.3,0.656,3.1,1.4,1.8,5.5
2 seasons,,BOS,BAA,,76.0,,,4.1,11.2,0.371,2.7,4.3,0.644,,2.7,1.6,11.0
1 season,,BLB,NBA,,23.0,,16.5,2.0,6.2,0.317,1.9,2.9,0.657,3.3,1.3,2.6,5.8
