Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,23.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
1966-67,24.0,BOS,NBA,PF,38,,5.8,0.9,2.6,.361,0.7,1.1,.675,,,3.8,0.3,,,1.1,2.6
1967-68,25.0,SDR,NBA,PF,81,,31.1,4.4,11.0,.396,2.2,3.8,.592,,,11.7,1.8,,,3.4,11.0
1968-69,26.0,SDR,NBA,PF,76,,22.1,3.1,7.1,.445,1.5,3.3,.468,,,8.8,1.2,,,2.8,7.8
1969-70,27.0,SDR,NBA,PF,77,,21.1,2.8,6.6,.429,1.4,2.4,.578,,,8.1,1.2,,,2.4,7.1
1970-71,28.0,SDR,NBA,PF,80,,13.8,1.4,3.6,.387,0.6,1.4,.472,,,5.1,0.8,,,1.6,3.4
1971-72,29.0,MIL,NBA,PF,74,,13.1,1.4,3.1,.467,0.6,1.1,.543,,,4.2,0.8,,,1.9,3.5
1972-73,30.0,KCO,NBA,PF,67,,9.6,1.4,3.3,.436,0.7,1.0,.657,,,2.9,0.4,,,1.3,3.5
1973-74,31.0,PHI,NBA,PF,75,,21.2,2.9,6.1,.474,1.7,2.5,.686,2.5,4.9,7.4,1.0,0.7,0.3,2.7,7.5
1974-75,32.0,NOJ,NBA,PF,3,,30.0,2.3,7.7,.304,2.0,2.3,.857,2.7,6.0,8.7,1.3,0.7,0.0,4.0,6.7
Career,,,NBA,,571,,18.3,2.4,5.7,.425,1.2,2.2,.573,2.5,4.9,6.8,1.0,0.7,0.3,2.2,6.1
,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SDR,NBA,,314,,22.0,2.9,7.1,.414,1.5,2.7,.537,,,8.4,1.3,,,2.6,7.3
1 season,,PHI,NBA,,75,,21.2,2.9,6.1,.474,1.7,2.5,.686,2.5,4.9,7.4,1.0,0.7,0.3,2.7,7.5
1 season,,MIL,NBA,,74,,13.1,1.4,3.1,.467,0.6,1.1,.543,,,4.2,0.8,,,1.9,3.5
1 season,,KCO,NBA,,67,,9.6,1.4,3.3,.436,0.7,1.0,.657,,,2.9,0.4,,,1.3,3.5
1 season,,BOS,NBA,,38,,5.8,0.9,2.6,.361,0.7,1.1,.675,,,3.8,0.3,,,1.1,2.6
1 season,,NOJ,NBA,,3,,30.0,2.3,7.7,.304,2.0,2.3,.857,2.7,6.0,8.7,1.3,0.7,0.0,4.0,6.7
