Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1964-65,22.0,TOT,NBA,SF,52,,9.8,1.2,3.6,.339,,,,1.2,3.6,.339,.339,1.2,1.6,.714,,,1.9,0.8,,1.3,3.6
1964-65,22.0,SFW,NBA,SF,33,,8.4,1.1,3.0,.360,,,,1.1,3.0,.360,.360,0.9,1.3,.682,,,1.8,0.8,,1.1,3.1
1964-65,22.0,NYK,NBA,SF,19,,12.2,1.4,4.5,.314,,,,1.4,4.5,.314,.314,1.6,2.1,.750,,,2.2,0.8,,1.6,4.4
1965-66,23.0,Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers)
1966-67,24.0,Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers)
1967-68,25.0,Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers),Did Not Play (other—atteneded law school and played with the Schaefer Brewers)
1968-69,26.0,Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers),Did Not Play (other—practiced law and played with the Schaefer Brewers)
1969-70,27.0,NYA,ABA,SF,7,,8.0,1.4,4.4,.323,0.0,0.1,.000,1.4,4.3,.333,.323,1.0,1.1,.875,1.0,0.9,1.9,0.4,1.6,1.4,3.9
Career,,,TOT,,59,,9.5,1.2,3.7,.336,0.0,0.1,.000,1.2,3.7,.338,.336,1.1,1.6,.728,1.0,0.9,1.9,0.7,1.6,1.3,3.6
,,,NBA,,52,,9.8,1.2,3.6,.339,,,,1.2,3.6,.339,.339,1.2,1.6,.714,,,1.9,0.8,,1.3,3.6
